TICKER;DATE;SIGMA;OPEN;HIGH;LOW;CLOSE;VOL;WAPRICE
MICEXINDEXCF;25.05.1999;0.009275257;114.19;114.19;110.99;110.99;2;112.59
MICEXINDEXCF;26.05.1999;-0.006306874;110.18;110.29;110.18;110.29;3;110.2167
MICEXINDEXCF;27.05.1999;0.023846224;110.51;112.92;110.51;112.92;3;111.3133
MICEXINDEXCF;28.05.1999;0;112.92;112.92;112.92;112.92;1;112.92
MICEXINDEXCF;01.06.1999;-0.032500886;109.25;109.25;109.25;109.25;1;109.25
MICEXINDEXCF;02.06.1999;-0.007231121;108.46;108.46;108.46;108.46;1;108.46
MICEXINDEXCF;03.06.1999;-0.003319196;105.27;108.1;105.27;108.1;3;107.15
MICEXINDEXCF;04.06.1999;0;108.1;108.1;108.1;108.1;2;108.1
MICEXINDEXCF;07.06.1999;0.033765032;111.75;111.75;111.75;111.75;1;111.75
MICEXINDEXCF;08.06.1999;0.017091723;113.66;113.66;113.66;113.66;1;113.66
MICEXINDEXCF;09.06.1999;0.020675699;116.01;116.01;116.01;116.01;2;116.01
MICEXINDEXCF;10.06.1999;0.007413154;116.87;116.87;116.87;116.87;1;116.87
MICEXINDEXCF;11.06.1999;0.020792333;119.3;119.3;119.3;119.3;1;119.3
MICEXINDEXCF;16.06.1999;0.024224644;122.19;122.19;122.19;122.19;1;122.19
MICEXINDEXCF;17.06.1999;0.012194124;123.68;123.68;123.68;123.68;1;123.68
MICEXINDEXCF;22.06.1999;0.07309185;132.72;132.72;132.72;132.72;1;132.72
MICEXINDEXCF;23.06.1999;-0.012206148;134.93;134.93;131.1;131.1;1025;132.3554
MICEXINDEXCF;24.06.1999;0.011594203;131.1;133.22;130.84;132.62;1012;132.4178
MICEXINDEXCF;25.06.1999;-0.021489971;132.62;132.97;129.75;129.77;933;130.6914
MICEXINDEXCF;28.06.1999;0;130.23;131.2;129.77;129.77;1134;130.5653
MICEXINDEXCF;29.06.1999;0.005548278;129.99;130.56;129.99;130.49;632;130.4128
MICEXINDEXCF;30.06.1999;0.008812936;130.25;132.18;130.25;131.64;1005;131.6707
MICEXINDEXCF;01.07.1999;0.03372835;131.64;136.08;131.64;136.08;1129;135.47
MICEXINDEXCF;02.07.1999;0.01829806;136.08;140.13;136.08;138.57;1099;139.041
MICEXINDEXCF;05.07.1999;0.025402324;138.57;142.09;138.57;142.09;918;141.0116
MICEXINDEXCF;06.07.1999;0.058061792;142.09;150.34;142.09;150.34;1476;149.2911
MICEXINDEXCF;07.07.1999;-0.010975123;150.34;152.78;148.62;148.69;1422;149.8388
MICEXINDEXCF;08.07.1999;0.008339498;148.69;150.19;147.94;149.93;1168;149.8659
MICEXINDEXCF;09.07.1999;-0.016741146;149.93;149.93;147.21;147.42;808;147.5616
MICEXINDEXCF;12.07.1999;-0.005155338;147.42;150.02;146.66;146.66;1024;147.9521
MICEXINDEXCF;13.07.1999;-0.042070094;146.66;146.66;140.49;140.49;1237;141.9768
MICEXINDEXCF;14.07.1999;0.015090042;140.49;142.61;140;142.61;1240;141.2249
MICEXINDEXCF;15.07.1999;-0.006801767;142.61;142.95;141.22;141.64;975;141.6438
MICEXINDEXCF;16.07.1999;-0.002612256;141.64;142.16;140.65;141.27;924;141.0714
MICEXINDEXCF;19.07.1999;-0.043816805;141.27;141.34;135.08;135.08;936;136.6619
MICEXINDEXCF;20.07.1999;-0.014880071;135.08;135.08;132.04;133.07;1089;132.8412
MICEXINDEXCF;21.07.1999;-0.041632224;133.07;133.07;127.26;127.53;940;127.8761
MICEXINDEXCF;22.07.1999;0.026503568;127.53;131.65;127.53;130.91;1246;130.9964
MICEXINDEXCF;23.07.1999;-0.02467344;130.91;130.91;127.22;127.68;881;127.5559
MICEXINDEXCF;26.07.1999;0.009633459;127.68;129.86;127.51;128.91;1023;129.3138
MICEXINDEXCF;27.07.1999;-0.02303933;128.91;128.91;125.94;125.94;803;126.9765
MICEXINDEXCF;28.07.1999;-0.014927743;125.94;126.47;123.46;124.06;984;124.2
MICEXINDEXCF;29.07.1999;-0.054892794;124.06;126.23;117.25;117.25;1233;120.8693
MICEXINDEXCF;30.07.1999;-0.02021322;117.25;117.25;113.74;114.88;1069;114.5166
MICEXINDEXCF;02.08.1999;-0.00426532;114.88;115.87;114.39;114.39;913;115.2141
MICEXINDEXCF;03.08.1999;-0.018095987;114.39;114.52;112.22;112.32;1130;113.0677
MICEXINDEXCF;04.08.1999;-0.052261396;112.32;112.32;106.45;106.45;1189;108.0378
MICEXINDEXCF;05.08.1999;-0.060310005;106.45;106.45;99.68;100.03;1439;101.3241
MICEXINDEXCF;06.08.1999;0.062881136;100.03;106.47;100.03;106.32;1428;105.0509
MICEXINDEXCF;09.08.1999;-0.070071482;106.32;106.32;91.96;98.87;1530;94.9448
MICEXINDEXCF;10.08.1999;0.115808638;98.87;112.34;98.87;110.32;1319;111.3651
MICEXINDEXCF;11.08.1999;-0.034717186;110.32;110.32;105.01;106.49;1037;106.2252
MICEXINDEXCF;12.08.1999;0.03718659;106.49;110.85;106.49;110.45;1126;110.4386
MICEXINDEXCF;13.08.1999;-0.026527841;110.45;110.45;107;107.52;931;107.8163
MICEXINDEXCF;16.08.1999;-0.005859375;107.52;108.91;106.64;106.89;686;107.1714
MICEXINDEXCF;17.08.1999;0.006455234;106.89;108.03;106.57;107.58;532;107.6819
MICEXINDEXCF;18.08.1999;-0.00408998;107.58;108.1;106.85;107.14;436;107.1707
MICEXINDEXCF;19.08.1999;0.003546761;107.14;107.56;106.84;107.52;492;107.2447
MICEXINDEXCF;20.08.1999;0.02297247;107.52;109.99;107.26;109.99;503;108.8641
MICEXINDEXCF;23.08.1999;0.070370034;109.99;117.73;109.99;117.73;1085;116.096
MICEXINDEXCF;24.08.1999;0.012146437;117.73;121.22;117.73;119.16;1214;119.9979
MICEXINDEXCF;25.08.1999;-0.015861027;119.16;119.16;117.15;117.27;817;118.0943
MICEXINDEXCF;26.08.1999;-0.039396265;117.27;117.27;112.65;112.65;1032;114.045
MICEXINDEXCF;27.08.1999;-0.035508211;112.65;112.65;108.65;108.65;835;109.2275
MICEXINDEXCF;30.08.1999;-0.04316613;108.65;108.65;103.96;103.96;813;105.5282
MICEXINDEXCF;31.08.1999;-0.031165833;103.96;103.96;98.7;100.72;1134;99.7138
MICEXINDEXCF;01.09.1999;0.041600477;100.72;104.91;100.72;104.91;889;103.8071
MICEXINDEXCF;02.09.1999;0.034601087;104.91;110.1;104.91;108.54;1100;109.4994
MICEXINDEXCF;03.09.1999;0.000184264;108.54;108.56;106.36;108.56;853;107.8379
MICEXINDEXCF;06.09.1999;0.244196758;108.56;135.07;108.56;135.07;613;129.1934
MICEXINDEXCF;07.09.1999;-0.180276893;110.3;111.54;110.13;110.72;636;110.8752
MICEXINDEXCF;08.09.1999;-0.017973266;110.72;110.72;108.73;108.73;1037;109.2324
MICEXINDEXCF;09.09.1999;-0.012140164;108.73;108.73;105.45;107.41;1395;106.5212
MICEXINDEXCF;10.09.1999;0.028488968;107.41;110.92;107.41;110.47;1473;110.5004
MICEXINDEXCF;13.09.1999;-0.043088621;110.47;110.47;105.71;105.71;1276;106.7134
MICEXINDEXCF;14.09.1999;-0.006811087;105.71;106.56;104.99;104.99;986;105.83
MICEXINDEXCF;15.09.1999;-0.032479284;104.99;104.99;101.47;101.58;1342;102.6889
MICEXINDEXCF;16.09.1999;-0.035243158;101.58;101.58;98;98;1294;99.1293
MICEXINDEXCF;17.09.1999;-0.045204082;98;98;92.92;93.57;1405;93.5392
MICEXINDEXCF;20.09.1999;-0.060916961;93.57;95.6;87.87;87.87;1348;90.901
MICEXINDEXCF;21.09.1999;-0.049391146;87.87;87.87;83.53;83.53;1295;83.8998
MICEXINDEXCF;22.09.1999;-0.002394349;83.53;83.53;80.67;83.33;1632;82.1986
MICEXINDEXCF;23.09.1999;0.061322453;83.33;88.44;83.33;88.44;1597;87.6029
MICEXINDEXCF;24.09.1999;-0.009497965;88.44;88.44;86.94;87.6;1443;87.5942
MICEXINDEXCF;27.09.1999;0.040410959;87.6;91.14;87.55;91.14;1321;89.7257
MICEXINDEXCF;28.09.1999;-0.006254115;91.14;92.86;90.57;90.57;1348;91.2864
MICEXINDEXCF;29.09.1999;-0.021530308;90.57;90.57;88.52;88.62;1268;88.8761
MICEXINDEXCF;30.09.1999;-0.01681336;88.62;88.62;87.12;87.13;1165;87.5254
MICEXINDEXCF;01.10.1999;0.018478136;87.13;88.83;87.13;88.74;1010;88.6922
MICEXINDEXCF;04.10.1999;0.023101195;88.74;90.8;88.74;90.79;1080;90.3134
MICEXINDEXCF;05.10.1999;0.01464919;90.79;92.12;90.79;92.12;1272;91.7856
